
 Name : longvutru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 167 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 166 và 1|| Thời gian tách : 2022-05-19 07:48:45

 Name : longvutru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 166 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 165 và 1|| Thời gian tách : 2022-05-19 07:48:47

 Name : longvutru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 165 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 164 và 1|| Thời gian tách : 2022-05-19 07:48:48

 Name : longvutru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 164 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 163 và 1|| Thời gian tách : 2022-05-19 07:48:49

 Name : longvutru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 163 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 162 và 1|| Thời gian tách : 2022-05-19 07:48:51

 Name : longvutru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 162 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 161 và 1|| Thời gian tách : 2022-05-19 07:48:52

 Name : longvutru đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 161 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 160 và 1|| Thời gian tách : 2022-05-19 07:48:53

